No,Product ID,SKU,Product Name,Category,GSM,Size,Printing Type,Sides,Cost Slab Count
48,zm3zkq78dfcymnhetyagb44r,PW5,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
49,n9zmqcjk1p6oc96nv8ct3syn,PW6,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
50,z5oln24kiqzxfplyypcismjd,PW7,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
51,hjsrlefsi106ut9drwe40o7g,PW8,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
52,nbggd5zhtszlkz3d1swwqu29,PW9,PLASTIC PAPER WEIGHT,ACRYLIC PAPER WEIGHT,70,2*3,DIGITAL,DOUBLE_SIDE,3
53,cmolfs32y00zoouqm3mn841w2,BB100811,BILL BOOK,BILL BOOK,100,8.5*11,OFFSET,DOUBLE_SIDE,0
54,cmolfrnmz00y1ouqm45f3tn1n,BB7058,BILL BOOK,BILL BOOK,70,5.5*8.5,OFFSET,SINGLE_SIDE,1
55,cmolfrnwk00y2ouqmy9zdgk38,BB70811,BILL BOOK,BILL BOOK,70,8.5*11,OFFSET,SINGLE_SIDE,0
56,cmolfsatd010gouqmpxfh31u3,BX250,BOX,BOX,250,6*4*2,OFFSET,SINGLE_SIDE,1
57,cmolfs9su010bouqm05t0bs46,CL1301117P3,CALENDER,CALENDER,130,11*17,OFFSET,DOUBLE_SIDE,1
58,cmolfs9410109ouqmd6l03znr,CL1301117P6,CALENDER,CALENDER,130,11*17,OFFSET,DOUBLE_SIDE,2
59,cmolfs7bg0103ouqmzmu4r9qo,CL1301722P1,CALENDER,CALENDER,130,17*22,OFFSET,SINGLE_SIDE,3
60,cmolfsa20010couqmw66p3k7n,CL1301722P3,CALENDER,CALENDER,130,17*22,OFFSET,DOUBLE_SIDE,1
61,cmolfs6sv0101ouqmsg24xujn,CL1302030,CALENDER,CALENDER,130,20*30,OFFSET,DOUBLE_SIDE,1
62,cmolfs9jg010aouqmh2aq8dbw,CL1701722P1,CALENDER,CALENDER,170,17*22,OFFSET,SINGLE_SIDE,4
63,cmolfs83m0106ouqm4pefwcvt,CL2501722P1,CALENDER,CALENDER,250,17*22,OFFSET,SINGLE_SIDE,2
64,cmolfs7u90105ouqm6xgc7ugr,CL3001722P1,CALENDER,CALENDER,300,17*21,OFFSET,SINGLE_SIDE,1
65,cmolfs7kw0104ouqmuj7nq8vj,CL701117P6,CALENDER,CALENDER,70,11*17,OFFSET,DOUBLE_SIDE,7
66,cmolfs8cs0107ouqm6fry0zm2,CL801117P6,CALENDER,CALENDER,80,11*17,OFFSET,DOUBLE_SIDE,9
67,cmolfs8up0108ouqmjx3ltijm,CL801419P6,CALENDER,CALENDER,80,14*19,OFFSET,DOUBLE_SIDE,1
68,cmolfs7290102ouqmpwvnt6yo,CL901117P6,CALENDER,CALENDER,90,11*17,OFFSET,DOUBLE_SIDE,7
69,cmolfs0dy00zfouqm368s24pc,CD354,CARD,CARD,250,3.5*4,OFFSET,SINGLE_SIDE,0
70,prod_ct_scan_bag_big,CT-BAG-16X21,CT Scan Bag Big,Diagnostic Bags,0,16x21,OFFSET,SINGLE_SIDE,0
71,prod_xray_bag_small,XRAY-BAG-10.5X16,X-ray Bag Small,Diagnostic Bags,0,10.5x16,OFFSET,SINGLE_SIDE,0
72,cmolfrpkf00ydouqmcpka77xr,DM7046,DOT MATRIX BILL,DOT MATRIX BILL,70,4*6,OFFSET,SINGLE_SIDE,6
73,cmolfryv100z9ouqmgoln5x2n,DM70754,DOT MATRIX BILL,DOT MATRIX BILL,70,7.5*4,OFFSET,SINGLE_SIDE,0
